DATE,state,ur
2020-8-1,FL,7.4
2019-8-1,GA,3.3
2019-9-1,GA,3.2
2019-10-1,GA,3.2
2019-11-1,GA,3.1
2019-12-1,GA,3.1
2020-1-1,GA,3.1
2020-2-1,GA,3.1
2020-3-1,GA,4.6
2020-4-1,GA,12.6
2020-5-1,GA,9.4
2020-6-1,GA,7.6
2020-7-1,GA,7.6
2020-8-1,GA,5.6
2019-8-1,HI,2.7
2019-9-1,HI,2.8
2019-10-1,HI,2.6
2019-11-1,HI,2.6
2019-12-1,HI,2.2
2020-1-1,HI,2.9
2020-2-1,HI,2.7
2020-3-1,HI,2.3
2020-4-1,HI,23.6
2020-5-1,HI,23.4
2020-6-1,HI,13.9
2020-7-1,HI,13.5
2020-8-1,HI,12.5
2019-8-1,IA,2.8
2019-9-1,IA,2.8
2019-10-1,IA,2.8
2019-11-1,IA,2.8
2019-12-1,IA,2.8
2020-1-1,IA,2.8
2020-2-1,IA,2.8
2020-3-1,IA,3.3
2020-4-1,IA,11
2020-5-1,IA,10.2
2020-6-1,IA,8.4
2020-7-1,IA,6.8
2020-8-1,IA,6
2019-8-1,ID,2.9
2019-9-1,ID,2.9
2019-10-1,ID,2.9
2019-11-1,ID,2.9
2019-12-1,ID,2.9
2020-1-1,ID,2.8
2020-2-1,ID,2.7
2020-3-1,ID,2.5
2020-4-1,ID,11.8
2020-5-1,ID,9
2020-6-1,ID,5.8
2020-7-1,ID,5.1
2020-8-1,ID,4.2
2019-8-1,IL,4
2019-9-1,IL,3.5
2019-10-1,IL,3.5
2019-11-1,IL,3.4
2019-12-1,IL,3.5
2020-1-1,IL,4
2020-2-1,IL,3.5
2020-3-1,IL,4.2
2020-4-1,IL,16.8
2020-5-1,IL,14.8
2020-6-1,IL,14.6
2020-7-1,IL,11.5
2020-8-1,IL,10.9
2019-8-1,IN,3.2
2019-9-1,IN,3.2
2019-10-1,IN,3.2
2019-11-1,IN,3.2
2019-12-1,IN,3.2
2020-1-1,IN,3.1
2020-2-1,IN,3.1
2020-3-1,IN,3
2020-4-1,IN,17.5
2020-5-1,IN,12.3
2020-6-1,IN,11.1
2020-7-1,IN,7.9
2020-8-1,IN,6.4
2019-8-1,KS,3.4
2019-9-1,KS,2.7
2019-10-1,KS,2.8
2019-11-1,KS,2.9
2019-12-1,KS,2.9
2020-1-1,KS,3.4
2020-2-1,KS,3.3
2020-3-1,KS,2.9
2020-4-1,KS,11.7
2020-5-1,KS,9.9
2020-6-1,KS,7.6
2020-7-1,KS,7.7
2020-8-1,KS,7.1
2019-8-1,KY,4.2
2019-9-1,KY,3.8
2019-10-1,KY,3.8
2019-11-1,KY,3.8
2019-12-1,KY,3.9
2020-1-1,KY,4.8
2020-2-1,KY,4.4
2020-3-1,KY,5.3
2020-4-1,KY,16.2
2020-5-1,KY,10.7
2020-6-1,KY,5
2020-7-1,KY,5
2020-8-1,KY,7.5
2019-8-1,LA,4.9
2019-9-1,LA,5.1
2019-10-1,LA,5.2
2019-11-1,LA,5.2
2019-12-1,LA,5.2
2020-1-1,LA,5.3
2020-2-1,LA,5.2
2020-3-1,LA,6.7
2020-4-1,LA,15.1
2020-5-1,LA,14.2
2020-6-1,LA,9.5
2020-7-1,LA,9.4
2020-8-1,LA,7.6
2019-8-1,MA,2.8
2019-9-1,MA,2.8
2019-10-1,MA,2.8
2019-11-1,MA,2.8
2019-12-1,MA,2.8
2020-1-1,MA,2.8
2020-2-1,MA,2.8
2020-3-1,MA,2.8
2020-4-1,MA,16.2
2020-5-1,MA,16.6
2020-6-1,MA,17.7
2020-7-1,MA,16.2
2020-8-1,MA,11.3
2019-8-1,MD,3.6
2019-9-1,MD,3.5
2019-10-1,MD,3.4
2019-11-1,MD,3.4
2019-12-1,MD,3.4
2020-1-1,MD,3.3
2020-2-1,MD,3.3
2020-3-1,MD,3.3
2020-4-1,MD,10.1
2020-5-1,MD,10
2020-6-1,MD,8.3
2020-7-1,MD,7.8
2020-8-1,MD,6.9
2019-8-1,ME,2.9
2019-9-1,ME,2.9
2019-10-1,ME,3
2019-11-1,ME,3
2019-12-1,ME,3
2020-1-1,ME,3.1
2020-2-1,ME,3.2
2020-3-1,ME,3
2020-4-1,ME,10.4
2020-5-1,ME,9.4
2020-6-1,ME,6.7
2020-7-1,ME,9.9
2020-8-1,ME,6.9
2019-8-1,MI,4
2019-9-1,MI,3.9
2019-10-1,MI,3.9
2019-11-1,MI,3.9
2019-12-1,MI,3.9
2020-1-1,MI,3.8
2020-2-1,MI,3.6
2020-3-1,MI,4.3
2020-4-1,MI,24
2020-5-1,MI,21.3
2020-6-1,MI,14.9
2020-7-1,MI,8.7
2020-8-1,MI,8.7
2019-8-1,MN,3
2019-9-1,MN,2.6
2019-10-1,MN,2.6
2019-11-1,MN,2.8
2019-12-1,MN,3.5
2020-1-1,MN,3.7
2020-2-1,MN,3.6
2020-3-1,MN,3.5
2020-4-1,MN,8.6
2020-5-1,MN,9.4
2020-6-1,MN,8.6
2020-7-1,MN,7.4
2020-8-1,MN,7.1
2019-8-1,MO,3.2
2019-9-1,MO,3.3
2019-10-1,MO,3.4
2019-11-1,MO,3.4
2019-12-1,MO,3.4
2020-1-1,MO,3.5
2020-2-1,MO,3.5
2020-3-1,MO,3.9
2020-4-1,MO,10.2
2020-5-1,MO,10.1
2020-6-1,MO,7.8
2020-7-1,MO,6.9
2020-8-1,MO,7
2019-8-1,MS,5.5
2019-9-1,MS,5.6
2019-10-1,MS,5.6
2019-11-1,MS,5.6
2019-12-1,MS,5.6
2020-1-1,MS,5.5
2020-2-1,MS,5.4
2020-3-1,MS,5.1
2020-4-1,MS,16.3
2020-5-1,MS,10.5
2020-6-1,MS,8.8
2020-7-1,MS,9.4
2020-8-1,MS,7.9
2019-8-1,MT,3.5
2019-9-1,MT,3.5
2019-10-1,MT,3.5
2019-11-1,MT,3.5
2019-12-1,MT,3.5
2020-1-1,MT,3.5
2020-2-1,MT,3.5
2020-3-1,MT,3.6
2020-4-1,MT,11.9
2020-5-1,MT,9
2020-6-1,MT,7.2
2020-7-1,MT,6.5
2020-8-1,MT,5.6
2019-8-1,NC,4.1
2019-9-1,NC,3.4
2019-10-1,NC,3.5
2019-11-1,NC,3.5
2019-12-1,NC,3.3
2020-1-1,NC,4.1
2020-2-1,NC,3.7
2020-3-1,NC,4.3
2020-4-1,NC,12.5
2020-5-1,NC,12.7
2020-6-1,NC,7.7
2020-7-1,NC,8.8
2020-8-1,NC,6.8
2019-8-1,ND,2.4
2019-9-1,ND,2.4
2019-10-1,ND,2.4
2019-11-1,ND,2.4
2019-12-1,ND,2.4
2020-1-1,ND,2.3
2020-2-1,ND,2.2
2020-3-1,ND,2
2020-4-1,ND,9.1
2020-5-1,ND,9.1
2020-6-1,ND,7.4
2020-7-1,ND,6.6
2020-8-1,ND,5
2019-8-1,NE,3.1
2019-9-1,NE,3
2019-10-1,NE,3
2019-11-1,NE,3
2019-12-1,NE,3
2020-1-1,NE,2.9
2020-2-1,NE,2.9
2020-3-1,NE,4
2020-4-1,NE,8.7
2020-5-1,NE,5.3
2020-6-1,NE,5.5
2020-7-1,NE,4.9
2020-8-1,NE,4
2019-8-1,NH,2.6
2019-9-1,NH,2.6
2019-10-1,NH,2.6
2019-11-1,NH,2.6
2019-12-1,NH,2.6
2020-1-1,NH,2.6
2020-2-1,NH,2.6
2020-3-1,NH,2.4
2020-4-1,NH,17.1
2020-5-1,NH,15.4
2020-6-1,NH,9.2
2020-7-1,NH,8
2020-8-1,NH,6.5
2019-8-1,NJ,3.5
2019-9-1,NJ,3.6
2019-10-1,NJ,3.7
2019-11-1,NJ,3.7
2019-12-1,NJ,3.7
2020-1-1,NJ,3.8
2020-2-1,NJ,3.8
2020-3-1,NJ,3.7
2020-4-1,NJ,16.3
2020-5-1,NJ,15.4
2020-6-1,NJ,16.8
2020-7-1,NJ,14.2
2020-8-1,NJ,10.9
2019-8-1,NM,4.8
2019-9-1,NM,4.8
2019-10-1,NM,4.8
2019-11-1,NM,4.8
2019-12-1,NM,4.8
2020-1-1,NM,4.8
2020-2-1,NM,4.8
2020-3-1,NM,6.3
2020-4-1,NM,11.9
2020-5-1,NM,9.1
2020-6-1,NM,8.4
2020-7-1,NM,12.7
2020-8-1,NM,11.3
2019-8-1,NV,3.8
2019-9-1,NV,3.7
2019-10-1,NV,3.7
2019-11-1,NV,3.7
2019-12-1,NV,3.7
2020-1-1,NV,3.6
2020-2-1,NV,3.6
2020-3-1,NV,6.9
2020-4-1,NV,30.1
2020-5-1,NV,25.3
2020-6-1,NV,15.2
2020-7-1,NV,14.2
2020-8-1,NV,13.2
2019-8-1,NY,3.9
2019-9-1,NY,3.9
2019-10-1,NY,3.9
2019-11-1,NY,3.9
2019-12-1,NY,3.9
2020-1-1,NY,3.8
2020-2-1,NY,3.7
2020-3-1,NY,4.1
2020-4-1,NY,15.3
2020-5-1,NY,14.5
2020-6-1,NY,15.6
2020-7-1,NY,15.9
2020-8-1,NY,12.5
2019-8-1,OH,4.2
2019-9-1,OH,4.1
2019-10-1,OH,4.1
2019-11-1,OH,4.1
2019-12-1,OH,4.1
2020-1-1,OH,4.1
2020-2-1,OH,4.1
2020-3-1,OH,5.8
2020-4-1,OH,17.6
2020-5-1,OH,13.9
2020-6-1,OH,11
2020-7-1,OH,9
2020-8-1,OH,8.9
2019-8-1,OK,3.3
2019-9-1,OK,3.3
2019-10-1,OK,3.4
2019-11-1,OK,3.4
2019-12-1,OK,3.4
2020-1-1,OK,3.3
2020-2-1,OK,3.2
2020-3-1,OK,2.9
2020-4-1,OK,14.7
2020-5-1,OK,12.6
2020-6-1,OK,6.4
2020-7-1,OK,7.1
2020-8-1,OK,5.7
2019-8-1,OR,3.6
2019-9-1,OR,3.5
2019-10-1,OR,3.4
2019-11-1,OR,3.4
2019-12-1,OR,3.4
2020-1-1,OR,3.3
2020-2-1,OR,3.3
2020-3-1,OR,3.5
2020-4-1,OR,14.9
2020-5-1,OR,14.3
2020-6-1,OR,11.6
2020-7-1,OR,10.4
2020-8-1,OR,7.7
2019-8-1,PA,4.5
2019-9-1,PA,4.6
2019-10-1,PA,4.6
2019-11-1,PA,4.6
2019-12-1,PA,4.6
2020-1-1,PA,4.7
2020-2-1,PA,4.7
2020-3-1,PA,5.8
2020-4-1,PA,16.1
2020-5-1,PA,13.4
2020-6-1,PA,13.2
2020-7-1,PA,12.5
2020-8-1,PA,10.3
2019-8-1,RI,3.5
2019-9-1,RI,3.5
2019-10-1,RI,3.5
2019-11-1,RI,3.5
2019-12-1,RI,3.5
2020-1-1,RI,3.4
2020-2-1,RI,3.4
2020-3-1,RI,4.7
2020-4-1,RI,18.1
2020-5-1,RI,16.4
2020-6-1,RI,12.6
2020-7-1,RI,11.3
2020-8-1,RI,12.8
2019-8-1,SC,2.5
2019-9-1,SC,2.4
2019-10-1,SC,2.4
2019-11-1,SC,2.4
2019-12-1,SC,2.4
2020-1-1,SC,2.4
2020-2-1,SC,2.5
2020-3-1,SC,3.2
2020-4-1,SC,12.8
2020-5-1,SC,12.4
2020-6-1,SC,8.7
2020-7-1,SC,8.7
2020-8-1,SC,6.3
2019-8-1,SD,3.3
2019-9-1,SD,3
2019-10-1,SD,3
2019-11-1,SD,3.3
2019-12-1,SD,3.5
2020-1-1,SD,3.8
2020-2-1,SD,3.6
2020-3-1,SD,3.4
2020-4-1,SD,11
2020-5-1,SD,9.2
2020-6-1,SD,7.1
2020-7-1,SD,6.1
2020-8-1,SD,4.7
2019-8-1,TN,3.4
2019-9-1,TN,3.3
2019-10-1,TN,3.3
2019-11-1,TN,3.3
2019-12-1,TN,3.3
2020-1-1,TN,3.3
2020-2-1,TN,3.4
2020-3-1,TN,3.3
2020-4-1,TN,15.5
2020-5-1,TN,11
2020-6-1,TN,9.6
2020-7-1,TN,9.7
2020-8-1,TN,8.5
2019-8-1,TX,3.5
2019-9-1,TX,3.5
2019-10-1,TX,3.5
2019-11-1,TX,3.5
2019-12-1,TX,3.5
2020-1-1,TX,3.5
2020-2-1,TX,3.5
2020-3-1,TX,5.1
2020-4-1,TX,13.5
2020-5-1,TX,13
2020-6-1,TX,8.4
2020-7-1,TX,8
2020-8-1,TX,6.8
2019-8-1,UT,2.5
2019-9-1,UT,2.5
2019-10-1,UT,2.4
2019-11-1,UT,2.4
2019-12-1,UT,2.4
2020-1-1,UT,2.5
2020-2-1,UT,2.5
2020-3-1,UT,3.8
2020-4-1,UT,10.4
2020-5-1,UT,8.6
2020-6-1,UT,5.3
2020-7-1,UT,4.5
2020-8-1,UT,4.1
2019-8-1,VA,2.7
2019-9-1,VA,2.7
2019-10-1,VA,2.7
2019-11-1,VA,2.7
2019-12-1,VA,2.7
2020-1-1,VA,2.7
2020-2-1,VA,2.6
2020-3-1,VA,3.3
2020-4-1,VA,11.2
2020-5-1,VA,9
2020-6-1,VA,8.1
2020-7-1,VA,7.9
2020-8-1,VA,6.1
2019-8-1,VT,2.4
2019-9-1,VT,2.4
2019-10-1,VT,2.4
2019-11-1,VT,2.4
2019-12-1,VT,2.4
2020-1-1,VT,2.4
2020-2-1,VT,2.4
2020-3-1,VT,3.1
2020-4-1,VT,16.5
2020-5-1,VT,12.8
2020-6-1,VT,9.5
2020-7-1,VT,8.3
2020-8-1,VT,4.8
2019-9-1,WA,4.1
2019-10-1,WA,4
2019-11-1,WA,4
2019-12-1,WA,4
2020-1-1,WA,3.9
2020-2-1,WA,3.8
2020-3-1,WA,5.1
2020-4-1,WA,16.3
2020-5-1,WA,15.1
2020-6-1,WA,10
2020-7-1,WA,10.2
2020-8-1,WA,8.5
2019-8-1,WI,3.4
2019-9-1,WI,3.4
2019-10-1,WI,3.5
2019-11-1,WI,3.5
2019-12-1,WI,3.5
2020-1-1,WI,3.5
2020-2-1,WI,3.5
2020-3-1,WI,3.1
2020-4-1,WI,13.6
2020-5-1,WI,12.1
2020-6-1,WI,8.6
2020-7-1,WI,7.1
2020-8-1,WI,6.2
2019-8-1,WV,4.9
2019-9-1,WV,5
2019-10-1,WV,5.1
2019-11-1,WV,5.1
2019-12-1,WV,5.1
2020-1-1,WV,5
2020-2-1,WV,4.9
2020-3-1,WV,6
2020-4-1,WV,15.9
2020-5-1,WV,12.9
2020-6-1,WV,10.5
2020-7-1,WV,10
2020-8-1,WV,8.9
2019-8-1,WY,3.7
2019-9-1,WY,3.7
2019-10-1,WY,3.7
2019-11-1,WY,3.7
2019-12-1,WY,3.7
2020-1-1,WY,3.7
2020-2-1,WY,3.7
2020-3-1,WY,3.8
2020-4-1,WY,9.6
2020-5-1,WY,8.8
2020-6-1,WY,7.6
2020-7-1,WY,7.1
2020-8-1,WY,6.6
